
[17-Apr-2021 04:15:25 UTC] PHP Fatal error:  Cannot redeclare getNow() (previously declared in E:\xampp\htdocs\mdm-crt\daemon\test.php:65) in E:\xampp\htdocs\mdm-crt\application\helpers\crtfunctions_helper.php on line 27
[17-Apr-2021 04:16:33 UTC] PHP Fatal error:  Cannot redeclare saveImage() (previously declared in E:\xampp\htdocs\mdm-crt\daemon\test.php:73) in E:\xampp\htdocs\mdm-crt\application\helpers\crtfunctions_helper.php on line 83
[17-Apr-2021 04:17:47 UTC] PHP Fatal error:  Cannot redeclare grab_page() (previously declared in E:\xampp\htdocs\mdm-crt\daemon\test.php:43) in E:\xampp\htdocs\mdm-crt\application\helpers\crtfunctions_helper.php on line 101
[24-Apr-2021 03:02:06 UTC] PHP Parse error:  syntax error, unexpected ',', expecting function (T_FUNCTION) or const (T_CONST) in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 13
[24-Apr-2021 03:11:28 UTC] PHP Notice:  Undefined variable: by in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 183
[24-Apr-2021 03:11:28 UTC] PHP Notice:  Trying to get property 'y' of non-object in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 183
[24-Apr-2021 03:11:29 UTC] PHP Notice:  Undefined variable: by in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 183
[24-Apr-2021 03:11:29 UTC] PHP Notice:  Trying to get property 'y' of non-object in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 183
[24-Apr-2021 03:11:29 UTC] PHP Notice:  Undefined variable: by in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 183
[24-Apr-2021 03:11:29 UTC] PHP Notice:  Trying to get property 'y' of non-object in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 183
[24-Apr-2021 03:11:29 UTC] PHP Notice:  Undefined variable: by in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 183
[24-Apr-2021 03:11:29 UTC] PHP Notice:  Trying to get property 'y' of non-object in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 183
[24-Apr-2021 03:11:29 UTC] PHP Notice:  Undefined variable: by in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 183
[24-Apr-2021 03:11:29 UTC] PHP Notice:  Trying to get property 'y' of non-object in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 183
[24-Apr-2021 03:11:29 UTC] PHP Notice:  Undefined variable: by in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 183
[24-Apr-2021 03:11:29 UTC] PHP Notice:  Trying to get property 'y' of non-object in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 183
[24-Apr-2021 03:11:29 UTC] PHP Notice:  Undefined variable: by in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 183
[24-Apr-2021 03:11:29 UTC] PHP Notice:  Trying to get property 'y' of non-object in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 183
[24-Apr-2021 03:11:29 UTC] PHP Notice:  Undefined variable: by in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 183
[24-Apr-2021 03:11:29 UTC] PHP Notice:  Trying to get property 'y' of non-object in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 183
[24-Apr-2021 03:11:29 UTC] PHP Notice:  Undefined variable: by in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 183
[24-Apr-2021 03:11:29 UTC] PHP Notice:  Trying to get property 'y' of non-object in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 183
[24-Apr-2021 03:11:29 UTC] PHP Notice:  Undefined variable: by in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 183
[24-Apr-2021 03:11:29 UTC] PHP Notice:  Trying to get property 'y' of non-object in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 183
[24-Apr-2021 03:11:29 UTC] PHP Notice:  Undefined variable: by in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 183
[24-Apr-2021 03:11:29 UTC] PHP Notice:  Trying to get property 'y' of non-object in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 183
[24-Apr-2021 03:11:29 UTC] PHP Notice:  Undefined variable: by in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 183
[24-Apr-2021 03:11:29 UTC] PHP Notice:  Trying to get property 'y' of non-object in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 183
[24-Apr-2021 03:11:29 UTC] PHP Notice:  Undefined variable: by in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 183
[24-Apr-2021 03:11:29 UTC] PHP Notice:  Trying to get property 'y' of non-object in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 183
[24-Apr-2021 03:11:29 UTC] PHP Notice:  Undefined variable: by in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 183
[24-Apr-2021 03:11:29 UTC] PHP Notice:  Trying to get property 'y' of non-object in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 183
[24-Apr-2021 03:11:29 UTC] PHP Notice:  Undefined variable: by in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 183
[24-Apr-2021 03:11:29 UTC] PHP Notice:  Trying to get property 'y' of non-object in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 183
[24-Apr-2021 03:11:29 UTC] PHP Notice:  Undefined variable: by in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 183
[24-Apr-2021 03:11:29 UTC] PHP Notice:  Trying to get property 'y' of non-object in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 183
[24-Apr-2021 03:11:29 UTC] PHP Notice:  Undefined variable: by in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 183
[24-Apr-2021 03:11:29 UTC] PHP Notice:  Trying to get property 'y' of non-object in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 183
[24-Apr-2021 03:11:29 UTC] PHP Notice:  Undefined variable: by in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 183
[24-Apr-2021 03:11:29 UTC] PHP Notice:  Trying to get property 'y' of non-object in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 183
[24-Apr-2021 03:11:29 UTC] PHP Notice:  Undefined variable: by in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 183
[24-Apr-2021 03:11:29 UTC] PHP Notice:  Trying to get property 'y' of non-object in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 183
[24-Apr-2021 03:11:29 UTC] PHP Notice:  Undefined variable: by in E:\xampp\htdocs\mdm-crt\daemon\classes\Location.class.php on line 183
